id,date,event_name,venue,file
2026-01-11-double-frostbite,2026-01-11,Double Frostbite,Outdoor,2026-01-11-double-frostbite.csv
2026-01-25-national-50,2026-01-25,National 50,Outdoor,2026-01-25-national-50.csv
2026-01-18-national,2026-01-18,National,Outdoor,2026-01-18-national.csv
2026-01-04-new-year-roving-clout,2026-01-04,New Year Roving Clout,Outdoor,2026-01-04-new-year-roving-clout.csv
2026-01-04-new-year-volley,2026-01-04,New Year Volley,Outdoor,2026-01-04-new-year-volley.csv
2026-02-09-wa-clout,2026-02-09,WA-Clout,Outdoor,2026-02-09-wa-clout.csv
